resource_id,title,file_path,size_bytes,company,category,subtopic,estimated_minutes,xp_reward,revision_priority
"amcat-res-amcat_score","amcat score","/resources/amcat/amcat_score.pdf",295160,"amcat","Core Subjects","",30,50,"medium"
"amcat-res-amcat-sample_papers","AMCAT Sample Papers","/resources/amcat/amcat-sample_papers.pdf",693641,"amcat","Previous Year Questions","",30,50,"medium"
"amcat-res-amcat_sample_paper","AMCAT Sample Paper","/resources/amcat/amcat_sample_paper.pdf",262385,"amcat","Previous Year Questions","",30,50,"medium"
"amcat-res-amcat_sample_paper_2","AMCAT Sample Paper 2","/resources/amcat/amcat_sample_paper_2.pdf",262385,"amcat","Previous Year Questions","",30,50,"medium"
"amcat-res-amcat.test_procedure","amcat.test procedure","/resources/amcat/amcat.test_procedure.docx",1100329,"amcat","Previous Year Questions","",60,100,"medium"
"amcat-res-amcat_test_syllabus","AMCAT Test Syllabus","/resources/amcat/amcat_test_syllabus.pdf",81826,"amcat","Previous Year Questions","",30,50,"medium"
"amcat-res-apuzz.com_wp-content_uploads_2013_12_amc","apuzz.com wp content uploads 2013 12 AMCAT Test Syllabus2","/resources/amcat/apuzz.com_wp-content_uploads_2013_12_amcat_test_syllabus2.pdf",81914,"amcat","Previous Year Questions","",30,50,"medium"
"amcat-res-maventic_latest_questions_asked_today_sh","MAVENTIC LATEST QUESTIONS ASKED TODAY shubham","/resources/amcat/maventic_latest_questions_asked_today_shubham_.docx",12201,"amcat","Previous Year Questions","",30,50,"medium"
"amcat-res-syllabus_amcat","Syllabus AMCAT","/resources/amcat/syllabus_amcat.pdf",56394,"amcat","Previous Year Questions","",30,50,"medium"
"amcat-res-300_antonyms_questions","300 ANTONYMS Questions","/resources/amcat/300_antonyms_questions.doc",97280,"amcat","Previous Year Questions","",30,50,"medium"
